video_id,frame_index,timestamp_ms,shoulder_mid_x,shoulder_mid_y,hip_mid_x,hip_mid_y,spine_angle,lean_deviation,postural_deviation,shoulder_asymmetry_flag,lift_phase,low_visibility
19bad,140,2341.7763157894738,0.9288,0.29,0.9057,0.5222,5.7,39.3,0.255,0,clean_catch,0
19bad,141,2358.503289473684,0.9283,0.2902,0.9047,0.5228,5.8,39.2,0.256,0,clean_catch,0
19bad,142,2375.2302631578946,0.9273,0.2902,0.9037,0.5233,5.8,39.2,0.257,0,clean_catch,0
19bad,143,2391.9572368421054,0.9263,0.2899,0.9026,0.5236,5.8,39.2,0.257,0,clean_catch,0
19bad,144,2408.684210526316,0.9252,0.2892,0.9016,0.5236,5.8,39.2,0.258,0,clean_catch,0
19bad,145,2425.4111842105262,0.9232,0.2884,0.8997,0.5237,5.7,39.3,0.259,0,clean_catch,0
19bad,146,2442.1381578947367,0.9212,0.2879,0.8979,0.5242,5.6,39.4,0.26,0,clean_catch,0
19bad,147,2458.8651315789475,0.9196,0.2866,0.8962,0.5247,5.6,39.4,0.261,0,clean_catch,0
19bad,148,2475.592105263158,0.9186,0.2851,0.8952,0.5251,5.6,39.4,0.263,0,clean_catch,0
19bad,149,2492.3190789473683,0.9187,0.2837,0.8948,0.5251,5.6,39.4,0.265,0,clean_catch,0
19bad,150,2509.0460526315787,0.9197,0.2829,0.8953,0.5248,5.8,39.2,0.266,0,clean_catch,0
19bad,151,2525.7730263157896,0.9191,0.2828,0.8951,0.5249,5.7,39.3,0.266,0,clean_catch,0
19bad,152,2542.5,0.9171,0.2839,0.8946,0.5249,5.3,39.7,0.263,0,clean_catch,0
19bad,153,2559.2269736842104,0.9145,0.2833,0.8933,0.5249,5.0,40.0,0.263,0,clean_catch,0
19bad,154,2575.9539473684213,0.9124,0.2815,0.8921,0.525,4.8,40.2,0.264,0,clean_catch,0
19bad,155,2592.6809210526317,0.9112,0.2791,0.891,0.5249,4.7,40.3,0.266,0,clean_catch,0
19bad,156,2609.407894736842,0.9111,0.2778,0.8907,0.5255,4.7,40.3,0.268,0,clean_catch,0
19bad,157,2626.1348684210525,0.9106,0.278,0.8906,0.5264,4.6,40.4,0.268,0,clean_catch,0
19bad,158,2642.8618421052633,0.9098,0.2797,0.8907,0.5274,4.4,40.6,0.267,0,clean_catch,0
19bad,159,2659.5888157894738,0.9088,0.2808,0.8907,0.5282,4.2,40.8,0.266,0,clean_catch,0
